item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-1904,beta,k8s:v1.21,k8s:sig-api-machinery,shipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1923,alpha,k8s:v1.21,k8s:sig-scheduling,shipped,2021-01-11T23:59:59+00:00,2021-03-08T23:59:59+00:00,,,,,
k8s:kep-1933,beta,k8s:v1.21,k8s:sig-instrumentation,shipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,,
k8s:kep-1959,alpha,k8s:v1.21,k8s:sig-cloud-provider,unresolved,2021-01-11T23:59:59+00:00,,,2021-01-11T23:59:59+00:00,,,
k8s:kep-1965,beta,k8s:v1.21,k8s:sig-api-machinery,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,,,2021-01-11T23:59:59+00:00,
k8s:kep-1967,beta,k8s:v1.21,k8s:sig-node,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1981,alpha,k8s:v1.21,k8s:sig-windows,slipped,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,,
k8s:kep-2000,beta,k8s:v1.21,k8s:sig-node,shipped,,,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-2025,alpha,k8s:v1.21,k8s:sig-cloud-provider,shipped,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00
k8s:kep-2053,beta,k8s:v1.21,k8s:sig-node,unresolved,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,,,2021-01-11T23:59:59+00:00,
k8s:kep-2079,alpha,k8s:v1.21,k8s:sig-network,shipped,2021-01-11T23:59:59+00:00,,,,,2021-01-11T23:59:59+00:00,
